City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,College,US,64.8569,-147.8028,52.0,58,40,3.44,scattered clouds
306,Ballarpur,IN,19.8333,79.35,88.81,42,2,6.78,clear sky
307,Odemira,PT,37.598,-8.6397,64.0,74,18,4.0,few clouds
308,Souillac,MU,-20.5167,57.5167,71.6,73,40,6.91,scattered clouds
309,Provideniya,RU,64.3833,-173.3,33.67,67,2,2.28,clear sky
310,Dharchula,IN,29.85,80.5333,62.58,79,30,2.55,scattered clouds
311,Les Cayes,HT,18.2,-73.75,83.3,61,77,10.29,broken clouds
312,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,13.8,light rain
313,Kijang,KR,35.2442,129.2139,60.8,63,0,6.91,clear sky
314,Husavik,IS,66.0449,-17.3389,35.6,64,75,11.5,broken clouds
315,Srednekolymsk,RU,67.45,153.6833,28.09,90,100,4.29,overcast clouds
316,Auki,SB,-8.7676,160.7034,78.66,86,69,4.0,moderate rain
317,Te Kauwhata,NZ,-37.4,175.15,61.0,95,100,2.68,light rain
318,Zlobin,HR,45.2924,14.6541,62.6,39,0,5.75,clear sky
319,Nantucket,US,41.2835,-70.0995,51.8,62,75,13.8,broken clouds
320,Lompoc,US,34.6391,-120.4579,73.0,59,1,16.11,clear sky
321,Klaksvik,FO,62.2266,-6.589,39.2,56,100,12.66,overcast clouds
322,Chuy,UY,-33.6971,-53.4616,64.06,69,60,9.24,broken clouds
323,Dakar,SN,14.6937,-17.4441,71.6,83,0,18.41,clear sky
324,Bubaque,GW,11.2833,-15.8333,77.79,73,2,15.88,clear sky
325,Diego De Almagro,CL,-26.3667,-70.05,74.21,22,0,8.72,clear sky
326,Borovoy,RU,55.4333,86.0833,46.4,53,20,4.47,few clouds
327,Cabo Rojo,PR,18.0866,-67.1457,84.99,70,25,5.99,scattered clouds
328,Lebu,CL,-37.6167,-73.65,58.66,78,59,6.69,broken clouds
329,San Lawrenz,MT,36.0553,14.204,66.2,68,0,5.75,clear sky
330,Alihe,CN,50.5667,123.7167,32.97,79,1,4.18,clear sky
331,Trat,TH,12.5,102.5,76.39,95,50,1.23,scattered clouds
332,Labuhan,ID,-6.8844,112.2051,75.36,84,6,8.19,clear sky
333,Villa Union,MX,23.2,-106.2333,86.0,51,1,4.61,clear sky
334,Severnyy,RU,50.677,36.5532,50.0,87,75,15.66,light rain
335,Toropets,RU,56.4978,31.6353,35.06,85,63,5.37,broken clouds
336,Ponta Do Sol,PT,32.6667,-17.1,66.0,68,89,3.0,overcast clouds
337,Palamos,ES,41.8484,3.1291,73.4,46,0,13.8,clear sky
338,Northam,GB,51.0333,-4.2167,55.0,96,100,11.99,moderate rain
339,Tafo,GH,6.7345,-1.6127,78.3,76,81,8.61,light rain
340,Bestobe,KZ,52.4994,73.0975,60.66,56,100,7.2,light rain
341,Baoying,CN,33.2292,119.3092,58.14,63,10,9.4,light rain
342,Berlevag,NO,70.8578,29.0864,34.36,81,12,14.25,few clouds
343,Santiago,CL,-33.4569,-70.6483,68.0,55,90,5.08,overcast clouds
344,Sai Buri,TH,6.7013,101.6168,79.25,85,99,4.23,overcast clouds
345,Belaya Gora,RU,68.5333,146.4167,27.54,96,100,4.34,light snow
346,Camacha,PT,33.0833,-16.3333,69.8,73,20,14.97,few clouds
347,Bethel,US,41.3712,-73.414,53.6,50,90,2.73,overcast clouds
